Cflo_N_g160t1	CFLO17434
Cflo_N_g161t1	CFLO17434
Cflo_N_g162t1	CFLO11807
Cflo_N_g163t1	CFLO17435
Cflo_N_g164t1	CFLO17436
Cflo_N_g165t1	CFLO17424
Cflo_N_g166t1	CFLO17438
Cflo_N_g167t1	CFLO17438
Cflo_N_g167t2	CFLO17438
Cflo_N_g171t1	CFLO17439
Cflo_N_g172t1	CFLO17440
Cflo_N_g173t1	CFLO17423
Cflo_N_g174t1	CFLO17422
Cflo_N_g175t1	CFLO17441
Cflo_N_g176t1	CFLO17421
Cflo_N_g177t1	CFLO17419
Cflo_N_g177t2	CFLO17419
Cflo_N_g179t1	CFLO17442
Cflo_N_g180t1	CFLO17415
Cflo_N_g181t1	CFLO17443
Cflo_N_g182t1	CFLO17414
Cflo_N_g183t1	CFLO17444
Cflo_N_g183t2	CFLO17444
Cflo_N_g184t1	CFLO17413
Cflo_N_g185t1	CFLO17412
Cflo_N_g185t2	CFLO17412
Cflo_N_g186t1	CFLO17411
Cflo_N_g187t1	CFLO17445
Cflo_N_g188t1	CFLO17410
Cflo_N_g188t2	CFLO17410
Cflo_N_g189t1	CFLO17446
Cflo_N_g189t2	CFLO17446
Cflo_N_g191t1	CFLO17409
Cflo_N_g192t1	CFLO17447
Cflo_N_g193t1	CFLO17408
Cflo_N_g193t2	CFLO17408
Cflo_N_g194t1	CFLO17406
Cflo_N_g195t1	CFLO17448
Cflo_N_g196t1	CFLO17405
Cflo_N_g196t2	CFLO17405
Cflo_N_g197t1	CFLO17404
Cflo_N_g198t1	CFLO17403
Cflo_N_g199t1	CFLO17449
Cflo_N_g200t1	CFLO17450
Cflo_N_g201t1	CFLO17402
Cflo_N_g202t1	CFLO17451
Cflo_N_g203t1	CFLO17401
Cflo_N_g208t1	CFLO22412
Cflo_N_g209t1	CFLO22413
Cflo_N_g210t1	CFLO22411
Cflo_N_g211t1	CFLO22414
Cflo_N_g212t1	CFLO22415
Cflo_N_g214t1	CFLO25603
Cflo_N_g215t1	CFLO22416
Cflo_N_g215t2	CFLO22416
Cflo_N_g216t1	CFLO12210
Cflo_N_g218t1	CFLO25439
Cflo_N_g219t1	CFLO23574
Cflo_N_g220t1	CFLO12503
Cflo_N_g221t1	CFLO11381
Cflo_N_g222t1	CFLO18265
Cflo_N_g223t1	CFLO22426
Cflo_N_g224t1	CFLO24339
Cflo_N_g225t1	CFLO22428
Cflo_N_g225t2	CFLO22428
Cflo_N_g226t1	CFLO11844
Cflo_N_g227t1	CFLO22429
Cflo_N_g228t1	CFLO22424
Cflo_N_g229t1	CFLO16580
Cflo_N_g230t1	CFLO16579
Cflo_N_g231t1	CFLO16581
Cflo_N_g231t2	CFLO16582
Cflo_N_g232t1	CFLO16582
Cflo_N_g233t1	CFLO16578
Cflo_N_g234t1	CFLO16585
Cflo_N_g235t1	CFLO16576
Cflo_N_g237t1	CFLO16586
Cflo_N_g237t2	CFLO16586
Cflo_N_g238t1	CFLO16575
Cflo_N_g239t1	CFLO16587
Cflo_N_g240t1	CFLO16574
Cflo_N_g241t1	CFLO16573
Cflo_N_g243t1	CFLO16588
Cflo_N_g244t1	CFLO16588
Cflo_N_g244t2	CFLO16588
Cflo_N_g247t1	CFLO16572
Cflo_N_g248t1	CFLO16589
Cflo_N_g249t1	CFLO16571
Cflo_N_g252t1	CFLO16590
Cflo_N_g252t2	CFLO16590
Cflo_N_g253t1	CFLO16590
Cflo_N_g254t1	CFLO16591
Cflo_N_g255t1	CFLO16570
Cflo_N_g256t1	CFLO16592
Cflo_N_g257t1	CFLO16569
Cflo_N_g258t1	CFLO16568
Cflo_N_g259t1	CFLO16593
Cflo_N_g260t1	CFLO16567
Cflo_N_g261t1	CFLO15983
Cflo_N_g262t1	CFLO20473
Cflo_N_g263t1	CFLO15957
Cflo_N_g264t1	CFLO13559
Cflo_N_g264t2	CFLO13559
Cflo_N_g264t3	CFLO13559
Cflo_N_g266t1	CFLO22591
Cflo_N_g267t1	CFLO11237
Cflo_N_g268t1	CFLO20443
Cflo_N_g269t1	CFLO11395
Cflo_N_g271t1	CFLO11867
Cflo_N_g272t1	CFLO13558
Cflo_N_g273t1	CFLO13557
Cflo_N_g274t1	CFLO26163
Cflo_N_g277t1	CFLO11381
Cflo_N_g278t1	CFLO12371
Cflo_N_g281t1	CFLO26165
Cflo_N_g285t1	CFLO20084
Cflo_N_g285t2	CFLO20084
Cflo_N_g286t1	CFLO20083
Cflo_N_g287t1	CFLO20085
Cflo_N_g288t1	CFLO20086
Cflo_N_g289t1	CFLO20086
Cflo_N_g290t1	CFLO20087
Cflo_N_g291t1	CFLO20087
Cflo_N_g291t2	CFLO20087
Cflo_N_g292t1	CFLO20088
Cflo_N_g293t1	CFLO20088
Cflo_N_g293t2	CFLO20088
Cflo_N_g294t1	CFLO20090
Cflo_N_g294t2	CFLO20090
Cflo_N_g294t3	CFLO20090
Cflo_N_g294t4	CFLO20090
Cflo_N_g295t1	CFLO20082
Cflo_N_g298t1	CFLO20092
Cflo_N_g299t1	CFLO20081
Cflo_N_g299t2	CFLO20081
Cflo_N_g301t1	CFLO20080
Cflo_N_g301t2	CFLO20080
Cflo_N_g301t3	CFLO20080
Cflo_N_g301t4	CFLO20080
Cflo_N_g301t5	CFLO20080
Cflo_N_g302t1	CFLO20093
Cflo_N_g303t1	CFLO23450
Cflo_N_g304t1	CFLO20078
Cflo_N_g305t1	CFLO20077
Cflo_N_g306t1	CFLO20076
Cflo_N_g307t1	CFLO19334
Cflo_N_g307t2	CFLO19334
Cflo_N_g308t1	CFLO19332
Cflo_N_g310t1	CFLO15539
Cflo_N_g311t1	CFLO22595
Cflo_N_g312t1	CFLO10741
Cflo_N_g313t1	CFLO19319
Cflo_N_g314t1	CFLO16023
Cflo_N_g315t1	CFLO22591
Cflo_N_g316t1	CFLO12335
Cflo_N_g317t1	CFLO11237
Cflo_N_g318t1	CFLO12038
Cflo_N_g319t1	CFLO21505
Cflo_N_g321t1	CFLO12312
Cflo_N_g322t1	CFLO12006
Cflo_N_g323t1	CFLO11956
Cflo_N_g325t1	CFLO23097
Cflo_N_g325t2	CFLO23097
Cflo_N_g326t1	CFLO23096
Cflo_N_g327t1	CFLO23098
Cflo_N_g328t1	CFLO23095
Cflo_N_g328t3	CFLO23095
Cflo_N_g332t1	CFLO23094
Cflo_N_g333t1	CFLO23091
Cflo_N_g333t2	CFLO23091
Cflo_N_g335t1	CFLO23090
Cflo_N_g335t2	CFLO23090
Cflo_N_g335t3	CFLO23090
Cflo_N_g338t1	CFLO23101
Cflo_N_g339t1	CFLO23102
Cflo_N_g342t1	CFLO23088
Cflo_N_g342t2	CFLO23088
Cflo_N_g343t1	CFLO23103
Cflo_N_g344t1	CFLO23103
Cflo_N_g345t1	CFLO23086
Cflo_N_g347t1	CFLO23085
Cflo_N_g348t1	CFLO23084
Cflo_N_g348t2	CFLO23084
Cflo_N_g348t3	CFLO23084
Cflo_N_g350t1	CFLO23083
Cflo_N_g350t2	CFLO23083
Cflo_N_g351t1	CFLO23104
Cflo_N_g352t1	CFLO12930
Cflo_N_g353t1	CFLO12929
Cflo_N_g353t2	CFLO12929
Cflo_N_g354t1	CFLO12928
Cflo_N_g354t2	CFLO12928
Cflo_N_g354t3	CFLO12928
Cflo_N_g355t1	CFLO12931
Cflo_N_g356t1	CFLO12932
Cflo_N_g356t2	CFLO12932
Cflo_N_g357t1	CFLO12926
Cflo_N_g358t1	CFLO12933
Cflo_N_g359t1	CFLO12934
Cflo_N_g359t2	CFLO12934
Cflo_N_g360t1	CFLO12925
Cflo_N_g361t1	CFLO12935
Cflo_N_g362t1	CFLO12924
Cflo_N_g363t1	CFLO12936
Cflo_N_g365t1	CFLO12922
Cflo_N_g366t1	CFLO12937
Cflo_N_g367t1	CFLO12920
Cflo_N_g368t1	CFLO12938
Cflo_N_g369t1	CFLO12919
Cflo_N_g370t1	CFLO12918
Cflo_N_g371t1	CFLO12918
Cflo_N_g372t1	CFLO12916
Cflo_N_g373t1	CFLO26041
Cflo_N_g374t1	CFLO12915
Cflo_N_g375t1	CFLO12939
Cflo_N_g376t1	CFLO12940
Cflo_N_g377t1	CFLO12914
Cflo_N_g378t1	CFLO12913
Cflo_N_g378t2	CFLO12913
Cflo_N_g380t1	CFLO12271
Cflo_N_g382t1	CFLO12941
Cflo_N_g383t1	CFLO12911
Cflo_N_g384t1	CFLO12910
Cflo_N_g385t1	CFLO12942
Cflo_N_g386t1	CFLO12909
Cflo_N_g387t1	CFLO12943
Cflo_N_g389t1	CFLO12907
Cflo_N_g394t1	CFLO26554
Cflo_N_g398t1	CFLO11381
Cflo_N_g399t1	CFLO11381
Cflo_N_g400t1	CFLO12210
Cflo_N_g402t1	CFLO26010
Cflo_N_g403t1	CFLO26316
Cflo_N_g404t1	CFLO11037
Cflo_N_g405t1	CFLO20428
Cflo_N_g406t1	CFLO20429
Cflo_N_g407t1	CFLO20430
Cflo_N_g408t1	CFLO24952
Cflo_N_g409t1	CFLO11706
Cflo_N_g410t1	CFLO12350
Cflo_N_g411t1	CFLO12350
Cflo_N_g412t1	CFLO12350
Cflo_N_g415t1	CFLO11415
Cflo_N_g417t1	CFLO10572
Cflo_N_g418t1	CFLO10948
Cflo_N_g420t1	CFLO21503
Cflo_N_g420t2	CFLO21503
Cflo_N_g421t1	CFLO22358
Cflo_N_g422t1	CFLO22357
Cflo_N_g423t1	CFLO22359
Cflo_N_g424t1	CFLO22356
Cflo_N_g424t2	CFLO22356
Cflo_N_g425t1	CFLO22360
Cflo_N_g425t2	CFLO22360
Cflo_N_g426t1	CFLO22354
Cflo_N_g426t2	CFLO22354
Cflo_N_g427t1	CFLO10433
Cflo_N_g428t1	CFLO22361
Cflo_N_g428t2	CFLO22361
Cflo_N_g428t3	CFLO22361
Cflo_N_g430t1	CFLO22362
Cflo_N_g431t1	CFLO20286
Cflo_N_g431t2	CFLO20286
Cflo_N_g432t1	CFLO20287
Cflo_N_g433t1	CFLO20285
Cflo_N_g434t1	CFLO20285
Cflo_N_g435t1	CFLO20288
Cflo_N_g436t1	CFLO20289
Cflo_N_g438t1	CFLO25823
Cflo_N_g439t1	CFLO25824
Cflo_N_g440t1	CFLO20290
Cflo_N_g442t1	CFLO13114
Cflo_N_g443t1	CFLO13113
Cflo_N_g443t2	CFLO13113
Cflo_N_g443t3	CFLO13113
Cflo_N_g444t1	CFLO13115
Cflo_N_g445t1	CFLO10775
Cflo_N_g445t2	CFLO10775
Cflo_N_g445t3	CFLO10775
Cflo_N_g447t1	CFLO11650
Cflo_N_g448t1	CFLO10774
Cflo_N_g451t1	CFLO13116
Cflo_N_g452t1	CFLO13117
Cflo_N_g452t2	CFLO13117
Cflo_N_g452t3	CFLO13117
Cflo_N_g453t1	CFLO13112
Cflo_N_g453t2	CFLO13112
Cflo_N_g453t3	CFLO13112
Cflo_N_g453t4	CFLO13112
Cflo_N_g455t1	CFLO13118
Cflo_N_g456t1	CFLO13111
Cflo_N_g457t1	CFLO13110
Cflo_N_g457t2	CFLO13110
Cflo_N_g458t1	CFLO13119
Cflo_N_g459t1	CFLO13120
Cflo_N_g460t1	CFLO13120
Cflo_N_g461t1	CFLO13121
Cflo_N_g462t1	CFLO13109
Cflo_N_g462t2	CFLO13109
Cflo_N_g462t3	CFLO13109
Cflo_N_g462t4	CFLO13109
Cflo_N_g463t1	CFLO13122
Cflo_N_g464t1	CFLO13107
Cflo_N_g466t1	CFLO13124
Cflo_N_g467t1	CFLO13125
Cflo_N_g468t1	CFLO13106
Cflo_N_g469t1	CFLO13105
Cflo_N_g470t1	CFLO13126
Cflo_N_g471t1	CFLO13104
Cflo_N_g471t2	CFLO13104
Cflo_N_g471t3	CFLO13103
Cflo_N_g474t1	CFLO11649
Cflo_N_g475t1	CFLO11649
Cflo_N_g475t2	CFLO11649
Cflo_N_g475t3	CFLO11649
Cflo_N_g475t4	CFLO11649
Cflo_N_g479t1	CFLO13127
