GLEAN_00232	TC000232
GLEAN_00233	TC000233
GLEAN_00234	TC000234
GLEAN_00235	TC000235
GLEAN_00236	TC000236
GLEAN_00237	TC000237
GLEAN_00238	TC000238
GLEAN_00239	TC000239
GLEAN_00240	TC000240
GLEAN_00243	TC000243
GLEAN_00244	TC000244
GLEAN_00245	TC000245
GLEAN_00246	TC000246
GLEAN_00247	TC000247
GLEAN_00248	TC000248
GLEAN_00249	TC000249
GLEAN_00250	TC000250
GLEAN_00252	TC000252
GLEAN_00253	TC000253
GLEAN_00254	TC000254
GLEAN_00255	TC000255
GLEAN_00256	TC000256
GLEAN_00257	TC000257
GLEAN_00258	TC000258
GLEAN_00259	TC000259
GLEAN_00260	TC000260
GLEAN_00261	TC000261
GLEAN_00262	TC000262
GLEAN_00263	TC000263
GLEAN_00264	TC000264
GLEAN_00265	TC000265
GLEAN_00266	TC000266
GLEAN_00267	TC000267
GLEAN_00268	TC000268
GLEAN_00269	TC000269
GLEAN_00270	TC000270
GLEAN_00271	TC000271
GLEAN_00272	TC000272
GLEAN_00273	TC000273
GLEAN_00274	TC000274
GLEAN_00275	TC000275
GLEAN_00276	TC000276
GLEAN_00277	TC000277
GLEAN_00278	TC000278
GLEAN_00280	TC000280
GLEAN_00281	TC000281
GLEAN_00282	TC000282
GLEAN_00283	TC000283
GLEAN_00284	TC000284
GLEAN_00285	TC000285
GLEAN_00286	TC000286
GLEAN_00287	TC000287
GLEAN_00288	TC000288
GLEAN_00289	TC000289
GLEAN_00290	TC000290
GLEAN_00291	TC000291
GLEAN_00292	TC000292
GLEAN_00293	TC000293
GLEAN_00294	TC000294
GLEAN_00295	TC000295
GLEAN_00296	TC000296
GLEAN_00297	TC000297
GLEAN_00298	TC000298
GLEAN_00299	TC000299
GLEAN_00300	TC000300
GLEAN_00301	TC000301
GLEAN_00302	TC000302
GLEAN_00303	TC000303
GLEAN_00304	TC000304
GLEAN_00305	TC000305
GLEAN_00306	TC000306
GLEAN_00307	TC000307
GLEAN_00308	TC000308
GLEAN_00310	TC000310
GLEAN_00311	TC000311
GLEAN_00312	TC000312
GLEAN_00313	TC000313
GLEAN_00314	TC000314
GLEAN_00315	TC000315
GLEAN_00316	TC000316
GLEAN_00317	TC000317
GLEAN_00318	TC000318
GLEAN_00319	TC000319
GLEAN_00321	TC000321
GLEAN_00322	TC000322
GLEAN_00323	TC000323
GLEAN_00324	TC000324
GLEAN_00325	TC000325
GLEAN_00326	TC000326
GLEAN_00327	TC000327
GLEAN_00328	TC000328
GLEAN_00329	TC000329
GLEAN_00330	TC000330
GLEAN_00331	TC000331
GLEAN_00332	TC000332
GLEAN_00333	TC000333
GLEAN_00334	TC000334
GLEAN_00335	TC000335
GLEAN_00336	TC000336
GLEAN_00337	TC000337
GLEAN_00338	TC000338
GLEAN_00340	TC000340
GLEAN_00341	TC000341
GLEAN_00342	TC000342
GLEAN_00343	TC000343
GLEAN_00344	TC000344
GLEAN_00345	TC000345
GLEAN_00346	TC000346
GLEAN_00347	TC000347
GLEAN_00348	TC000348
GLEAN_00349	TC000349
GLEAN_00350	TC000350
GLEAN_00351	TC000351
GLEAN_00352	TC000352
GLEAN_00353	TC000353
GLEAN_00354	TC000354
GLEAN_00355	TC000355
GLEAN_00356	TC000356
GLEAN_00357	TC000357
GLEAN_00358	TC000358
GLEAN_00359	TC000359
GLEAN_00360	TC000360
GLEAN_00361	TC000361
GLEAN_00364	TC000364
GLEAN_00365	TC000365
GLEAN_00366	TC000366
GLEAN_00367	TC000367
GLEAN_00368	TC000368
GLEAN_00369	TC000369
GLEAN_00370	TC000370
GLEAN_00371	TC000371
GLEAN_00372	TC000372
GLEAN_00373	TC000373
GLEAN_00374	TC000374
GLEAN_00375	TC000375
GLEAN_00376	TC000376
GLEAN_00377	TC000377
GLEAN_00378	TC000378
GLEAN_00379	TC000379
GLEAN_00380	TC000380
GLEAN_00381	TC000381
GLEAN_00382	TC000382
GLEAN_00383	TC000383
GLEAN_00384	TC000384
GLEAN_00385	TC000385
GLEAN_00387	TC000387
GLEAN_00388	TC000388
GLEAN_00389	TC000389
GLEAN_00390	TC000390
GLEAN_00391	TC000391
GLEAN_00392	TC000392
GLEAN_00393	TC000393
GLEAN_00394	TC000394
GLEAN_00395	TC000395
GLEAN_00396	TC000396
